,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,26.982,1.406,24.223,29.521,0.022,0.024,3993.0,2842.0,1.0
Intercept,-9.399,1.469,-11.963,-6.732,0.047,0.07,983.0,1276.0,1.0
median_income_k,0.001,0.002,-0.002,0.005,0.0,0.0,946.0,1360.0,1.01
poverty_rate,-1.835,0.705,-3.261,-0.577,0.023,0.015,968.0,1555.0,1.01
lag_complaints_log1p,0.295,0.02,0.254,0.332,0.0,0.0,2316.0,2697.0,1.0
month_num[2],-0.183,0.03,-0.237,-0.128,0.001,0.0,1198.0,2264.0,1.0
month_num[3],0.385,0.03,0.329,0.443,0.001,0.0,1038.0,2172.0,1.0
month_num[4],0.247,0.029,0.192,0.3,0.001,0.0,1199.0,2157.0,1.0
month_num[5],0.294,0.032,0.237,0.356,0.001,0.0,1370.0,2547.0,1.0
month_num[6],0.329,0.031,0.273,0.389,0.001,0.0,1349.0,2480.0,1.0
month_num[7],0.438,0.031,0.381,0.499,0.001,0.0,1271.0,1925.0,1.0
month_num[8],0.369,0.031,0.311,0.428,0.001,0.0,1260.0,2229.0,1.0
month_num[9],0.285,0.032,0.228,0.346,0.001,0.0,1221.0,2007.0,1.0
month_num[10],0.217,0.031,0.159,0.278,0.001,0.0,1291.0,2038.0,1.0
month_num[11],-0.052,0.032,-0.114,0.004,0.001,0.0,1502.0,2587.0,1.0
month_num[12],0.241,0.031,0.185,0.304,0.001,0.0,1342.0,2355.0,1.0
1|borough_sigma,2.716,1.533,0.891,5.435,0.06,0.072,797.0,1205.0,1.0
1|community_board_sigma,0.199,0.024,0.155,0.243,0.001,0.0,758.0,1473.0,1.01
1|borough[BRONX],0.739,1.432,-2.082,3.142,0.045,0.07,1066.0,1203.0,1.0
1|borough[BROOKLYN],0.846,1.436,-1.802,3.446,0.045,0.07,1060.0,1280.0,1.0
1|borough[MANHATTAN],-3.097,1.449,-5.979,-0.738,0.045,0.069,1075.0,1293.0,1.0
1|borough[QUEENS],0.66,1.44,-2.054,3.165,0.045,0.07,1049.0,1233.0,1.0
1|borough[STATEN ISLAND],0.924,1.443,-1.772,3.47,0.045,0.07,1051.0,1262.0,1.0
1|community_board[01 BRONX],-0.067,0.086,-0.229,0.096,0.003,0.001,1086.0,2164.0,1.0
1|community_board[01 BROOKLYN],0.12,0.081,-0.034,0.273,0.002,0.001,1074.0,1588.0,1.0
1|community_board[01 QUEENS],0.167,0.067,0.047,0.301,0.002,0.001,1162.0,1508.0,1.0
